piece_id,size
1,5
2,9
3,1
4,2
5,9
6,1
7,3
8,2
9,1
10,4
11,8
12,7
13,2
14,6
15,2
16,3
17,8
18,5
19,7
20,4
21,3
22,2
23,7
24,4
25,2
26,6
27,8
28,2
29,2
30,1
31,3
32,7
33,9
34,3
35,3
36,7
37,7
38,8
39,9
40,2
41,1
42,4
43,7
44,2
45,1
46,9
47,6
48,4
49,3
50,7
51,5
52,6
53,3
54,6
55,5
56,1
57,6
58,2
59,4
60,5
61,8
62,8
63,3
64,2
65,4
66,5
67,1
68,2
69,2
70,3
71,2
72,6
73,1
74,2
75,9
76,2
77,7
78,7
79,6
80,3
81,4
82,7
83,2
84,5
85,4
86,5
87,5
88,2
89,1
90,2
91,7
92,8
93,2
94,1
95,1
96,3
97,8
98,1
99,1
100,6
101,6
102,4
103,7
104,5
105,3
106,8
107,6
108,8
109,9
110,1
111,6
112,2
113,1
114,2
115,7
116,3
117,2
118,6
119,6
120,4
121,1
122,9
123,4
124,1
125,2
126,6
127,4
128,1
129,8
130,5
131,7
132,9
133,3
134,5
135,3
136,3
137,8
138,5
139,1
140,9
141,9
142,1
143,5
144,6
145,9
146,9
147,2
148,3
149,7
150,5
151,6
152,4
153,7
154,9
155,9
156,3
157,8
158,6
159,5
160,9
161,6
162,3
163,9
164,7
165,1
166,3
167,5
168,8
169,1
170,7
171,7
172,1
173,6
174,7
175,4
176,6
177,6
178,9
179,1
180,6
181,6
182,7
183,1
184,2
185,2
186,4
187,2
188,6
189,5
190,1
191,4
192,8
193,8
194,5
195,3
196,4
197,1
198,1
199,2
200,2
