piece_id,size
1,4
2,7
3,6
4,5
5,4
6,6
7,3
8,8
9,7
10,9
11,9
12,7
13,5
14,5
15,6
16,4
17,1
18,8
19,3
20,1
21,9
22,9
23,3
24,1
25,1
26,2
27,1
28,5
29,5
30,9
31,5
32,1
33,6
34,2
35,6
36,5
37,6
38,8
39,4
40,4
41,4
42,4
43,6
44,7
45,6
46,5
47,3
48,5
49,2
50,3
51,1
52,1
53,9
54,7
55,3
56,6
57,6
58,6
59,1
60,8
61,6
62,3
63,6
64,4
65,6
66,5
67,6
68,1
69,6
70,5
71,2
72,1
73,4
74,6
75,1
76,9
77,2
78,1
79,2
80,9
81,3
82,3
83,7
84,8
85,8
86,7
87,9
88,3
89,3
90,5
91,8
92,9
93,6
94,6
95,5
96,7
97,8
98,6
99,8
100,9
101,1
102,2
103,3
104,7
105,1
106,2
107,5
108,5
109,6
110,2
111,9
112,4
113,4
114,3
115,3
116,5
117,5
118,1
119,5
120,1
121,3
122,7
123,8
124,5
125,8
126,5
127,8
128,3
129,1
130,7
131,8
132,5
133,5
134,8
135,4
136,8
137,6
138,9
139,9
140,7
141,5
142,7
143,8
144,4
145,9
146,4
147,8
148,4
149,4
150,7
151,4
152,1
153,7
154,1
155,7
156,6
157,4
158,2
159,2
160,1
161,8
162,6
163,3
164,9
165,1
166,4
167,5
168,6
169,4
170,8
171,9
172,2
173,9
174,7
175,2
176,6
177,5
178,7
179,6
180,3
181,8
182,9
183,7
184,2
185,7
186,5
187,7
188,5
189,5
190,6
191,5
192,1
193,1
194,2
195,1
196,9
197,4
198,8
199,3
200,5
