piece_id,size
1,6
2,7
3,2
4,5
5,5
6,5
7,4
8,9
9,1
10,4
11,8
12,1
13,3
14,3
15,7
16,1
17,7
18,7
19,9
20,8
21,9
22,8
23,9
24,1
25,3
26,4
27,5
28,6
29,3
30,3
31,1
32,8
33,1
34,1
35,6
36,5
37,2
38,4
39,5
40,5
41,3
42,5
43,9
44,5
45,7
46,1
47,9
48,2
49,1
50,6
51,3
52,7
53,7
54,5
55,4
56,4
57,1
58,1
59,6
60,3
61,3
62,5
63,7
64,4
65,8
66,7
67,5
68,6
69,8
70,3
71,5
72,7
73,4
74,6
75,9
76,4
77,6
78,1
79,5
80,4
81,5
82,9
83,9
84,2
85,2
86,1
87,3
88,3
89,2
90,7
91,4
92,8
93,6
94,7
95,1
96,7
97,6
98,2
99,8
100,7
