piece_id,size
1,1
2,9
3,2
4,9
5,9
6,6
7,8
8,7
9,5
10,3
11,3
12,2
13,9
14,4
15,9
16,7
17,5
18,9
19,5
20,1
21,3
22,9
23,9
24,7
25,8
26,5
27,9
28,3
29,5
30,3
31,9
32,2
33,1
34,1
35,2
36,5
37,6
38,5
39,2
40,8
41,5
42,1
43,2
44,5
45,9
46,8
47,5
48,3
49,1
50,4
51,1
52,8
53,1
54,9
55,3
56,9
57,7
58,3
59,4
60,9
61,4
62,1
63,1
64,9
65,2
66,9
67,8
68,8
69,7
70,3
71,7
72,8
73,2
74,5
75,2
76,6
77,5
78,6
79,5
80,1
81,5
82,2
83,7
84,1
85,6
86,6
87,1
88,2
89,8
90,5
91,3
92,2
93,1
94,5
95,3
96,9
97,1
98,4
99,9
100,4
101,2
102,9
103,3
104,7
105,1
106,6
107,2
108,2
109,5
110,2
111,6
112,7
113,3
114,7
115,3
116,5
117,5
118,5
119,1
120,9
121,2
122,3
123,9
124,9
125,3
126,7
127,4
128,9
129,9
130,8
131,4
132,3
133,3
134,5
135,9
136,2
137,6
138,3
139,5
140,6
141,1
142,3
143,2
144,2
145,6
146,5
147,2
148,5
149,3
150,8
151,5
152,4
153,5
154,4
155,7
156,5
157,5
158,2
159,4
160,3
161,5
162,9
163,5
164,5
165,9
166,4
167,6
168,6
169,2
170,6
171,9
172,4
173,1
174,4
175,8
176,4
177,2
178,3
179,1
180,2
181,3
182,1
183,7
184,2
185,4
186,3
187,9
188,9
189,8
190,3
191,5
192,5
193,8
194,2
195,1
196,2
197,5
198,3
199,1
200,5
