piece_id,size
1,1
2,6
3,1
4,5
5,3
6,4
7,2
8,9
9,5
10,7
11,7
12,9
13,3
14,8
15,5
16,7
17,5
18,2
19,7
20,6
21,9
22,6
23,3
24,7
25,7
26,6
27,7
28,3
29,9
30,1
31,9
32,1
33,5
34,3
35,8
36,6
37,2
38,4
39,8
40,7
41,5
42,7
43,3
44,9
45,6
46,4
47,1
48,1
49,7
50,2
51,4
52,3
53,6
54,6
55,7
56,7
57,8
58,3
59,4
60,5
61,8
62,8
63,4
64,7
65,2
66,3
67,2
68,8
69,3
70,7
71,5
72,3
73,7
74,7
75,3
76,1
77,6
78,2
79,8
80,3
81,9
82,9
83,4
84,5
85,1
86,8
87,9
88,3
89,8
90,4
91,9
92,7
93,3
94,8
95,8
96,2
97,5
98,3
99,1
100,2
