piece_id,size
1,6
2,3
3,1
4,1
5,1
6,9
7,3
8,1
9,3
10,4
11,6
12,9
13,2
14,2
15,6
16,2
17,9
18,2
19,5
20,8
21,9
22,5
23,4
24,5
25,9
26,1
27,5
28,6
29,1
30,2
31,8
32,5
33,7
34,6
35,4
36,6
37,8
38,1
39,6
40,7
41,8
42,4
43,4
44,6
45,3
46,1
47,3
48,9
49,9
50,7
51,7
52,7
53,5
54,9
55,8
56,8
57,6
58,9
59,8
60,2
61,1
62,2
63,5
64,3
65,8
66,6
67,7
68,7
69,8
70,1
71,8
72,8
73,2
74,9
75,3
76,1
77,6
78,4
79,5
80,3
81,9
82,1
83,4
84,9
85,7
86,7
87,5
88,1
89,1
90,8
91,2
92,1
93,9
94,6
95,3
96,7
97,9
98,9
99,8
100,7
