piece_id,size
1,7
2,5
3,2
4,4
5,5
6,3
7,5
8,3
9,1
10,1
11,7
12,1
13,1
14,5
15,3
16,5
17,1
18,7
19,7
20,2
21,8
22,2
23,9
24,4
25,4
26,7
27,6
28,8
29,6
30,2
31,3
32,1
33,1
34,8
35,8
36,8
37,9
38,5
39,3
40,1
41,8
42,6
43,4
44,9
45,1
46,4
47,2
48,5
49,2
50,2
51,8
52,8
53,1
54,3
55,1
56,5
57,5
58,7
59,7
60,9
61,6
62,2
63,9
64,2
65,9
66,3
67,4
68,9
69,8
70,9
71,8
72,2
73,9
74,9
75,4
76,6
77,8
78,4
79,8
80,6
81,4
82,5
83,4
84,6
85,4
86,9
87,5
88,6
89,8
90,7
91,3
92,9
93,6
94,9
95,9
96,3
97,1
98,3
99,4
100,1
