piece_id,size
1,9
2,5
3,4
4,3
5,4
6,8
7,7
8,2
9,8
10,2
11,7
12,3
13,9
14,5
15,6
16,9
17,6
18,8
19,7
20,3
21,7
22,2
23,8
24,3
25,8
26,4
27,1
28,8
29,3
30,5
31,6
32,7
33,2
34,4
35,8
36,2
37,4
38,7
39,7
40,6
41,9
42,5
43,8
44,9
45,6
46,9
47,9
48,5
49,6
50,1
51,7
52,9
53,3
54,5
55,2
56,5
57,3
58,5
59,5
60,4
61,3
62,9
63,9
64,3
65,1
66,6
67,3
68,8
69,2
70,2
71,9
72,7
73,7
74,7
75,1
76,2
77,5
78,8
79,2
80,5
81,4
82,1
83,3
84,2
85,5
86,8
87,8
88,6
89,3
90,5
91,5
92,1
93,8
94,1
95,9
96,6
97,8
98,9
99,5
100,8
101,2
102,2
103,6
104,9
105,5
106,1
107,9
108,4
109,5
110,1
111,7
112,7
113,3
114,1
115,3
116,6
117,8
118,4
119,2
120,8
121,2
122,7
123,8
124,3
125,7
126,6
127,2
128,2
129,2
130,3
131,7
132,4
133,1
134,1
135,6
136,7
137,9
138,3
139,7
140,9
141,6
142,9
143,2
144,1
145,5
146,6
147,8
148,5
149,8
150,4
151,1
152,2
153,3
154,9
155,3
156,5
157,5
158,3
159,5
160,2
161,1
162,4
163,8
164,2
165,2
166,9
167,7
168,5
169,3
170,3
171,8
172,9
173,1
174,1
175,4
176,7
177,8
178,1
179,7
180,2
181,8
182,7
183,8
184,5
185,6
186,1
187,5
188,4
189,5
190,9
191,3
192,7
193,2
194,5
195,7
196,3
197,9
198,6
199,7
200,8
